Energy (meV)          FC          FCHT        HT        TOT
-1.30200000e+02    1.16307768e-30    -1.54892314e-31    5.19735996e-33    1.01338272e-30
-1.30100000e+02    1.24101455e-30    -1.65213919e-31    5.54105888e-33    1.08134169e-30
-1.30000000e+02    1.32415098e-30    -1.76221303e-31    5.90746609e-33    1.15383715e-30
-1.29900000e+02    1.41283192e-30    -1.87959822e-31    6.29807725e-33    1.23117018e-30
-1.29800000e+02    1.50742504e-30    -2.00477814e-31    6.71448605e-33    1.31366171e-30
-1.29700000e+02    1.60832223e-30    -2.13826793e-31    7.15839063e-33    1.40165383e-30
-1.29600000e+02    1.71594120e-30    -2.28061659e-31    7.63160034e-33    1.49551114e-30
-1.29500000e+02    1.83072714e-30    -2.43240916e-31    8.13604303e-33    1.59562226e-30
-1.29400000e+02    1.95315452e-30    -2.59426909e-31    8.67377269e-33    1.70240138e-30
-1.29300000e+02    2.08372903e-30    -2.76686074e-31    9.24697774e-33    1.81628993e-30
-1.29200000e+02    2.22298957e-30    -2.95089204e-31    9.85798968e-33    1.93775835e-30
-1.29100000e+02    2.37151046e-30    -3.14711732e-31    1.05092925e-32    2.06730802e-30
-1.29000000e+02    2.52990373e-30    -3.35634035e-31    1.12035324e-32    2.20547323e-30
-1.28900000e+02    2.69882158e-30    -3.57941755e-31    1.19435286e-32    2.35282335e-30
-1.28800000e+02    2.87895897e-30    -3.81726140e-31    1.27322843e-32    2.50996511e-30
-1.28700000e+02    3.07105647e-30    -4.07084411e-31    1.35729987e-32    2.67754505e-30
-1.28600000e+02    3.27590315e-30    -4.34120147e-31    1.44690799e-32    2.85625208e-30
-1.28500000e+02    3.49433979e-30    -4.62943700e-31    1.54241580e-32    3.04682024e-30
-1.28400000e+02    3.72726221e-30    -4.93672634e-31    1.64421001e-32    3.25003168e-30
-1.28300000e+02    3.97562487e-30    -5.26432192e-31    1.75270250e-32    3.46671970e-30
-1.28200000e+02    4.24044465e-30    -5.61355797e-31    1.86833199e-32    3.69777218e-30
-1.28100000e+02    4.52280493e-30    -5.98585578e-31    1.99156577e-32    3.94413501e-30
-1.28000000e+02    4.82385988e-30    -6.38272935e-31    2.12290153e-32    4.20681596e-30
-1.27900000e+02    5.14483905e-30    -6.80579144e-31    2.26286936e-32    4.48688860e-30
-1.27800000e+02    5.48705227e-30    -7.25675987e-31    2.41203379e-32    4.78549662e-30
-1.27700000e+02    5.85189486e-30    -7.73746441e-31    2.57099607e-32    5.10385838e-30
-1.27600000e+02    6.24085312e-30    -8.24985395e-31    2.74039651e-32    5.44327169e-30
-1.27500000e+02    6.65551025e-30    -8.79600424e-31    2.92091699e-32    5.80511900e-30
-1.27400000e+02    7.09755263e-30    -9.37812606e-31    3.11328367e-32    6.19087286e-30
-1.27300000e+02    7.56877642e-30    -9.99857393e-31    3.31826982e-32    6.60210173e-30
-1.27200000e+02    8.07109475e-30    -1.06598554e-30    3.53669885e-32    7.04047620e-30
-1.27100000e+02    8.60654518e-30    -1.13646409e-30    3.76944759e-32    7.50777556e-30
-1.27000000e+02    9.17729780e-30    -1.21157744e-30    4.01744964e-32    8.00589486e-30
-1.26900000e+02    9.78566373e-30    -1.29162841e-30    4.28169911e-32    8.53685231e-30
-1.26800000e+02    1.04341042e-29    -1.37693950e-30    4.56325445e-32    9.10279727e-30
-1.26700000e+02    1.11252404e-29    -1.46785410e-30    4.86324260e-32    9.70601868e-30
-1.26600000e+02    1.18618633e-29    -1.56473785e-30    5.18286342e-32    1.03489541e-29
-1.26500000e+02    1.26469453e-29    -1.66798010e-30    5.52339431e-32    1.10341991e-29
-1.26400000e+02    1.34836512e-29    -1.77799538e-30    5.88619525e-32    1.17645178e-29
-1.26300000e+02    1.43753511e-29    -1.89522505e-30    6.27271406e-32    1.25428532e-29
-1.26200000e+02    1.53256332e-29    -2.02013902e-30    6.68449202e-32    1.33723391e-29
-1.26100000e+02    1.63383181e-29    -2.15323758e-30    7.12316988e-32    1.42563122e-29
-1.26000000e+02    1.74174735e-29    -2.29505336e-30    7.59049425e-32    1.51983250e-29
-1.25900000e+02    1.85674301e-29    -2.44615336e-30    8.08832432e-32    1.62021600e-29
-1.25800000e+02    1.97927986e-29    -2.60714119e-30    8.61863911e-32    1.72718438e-29
-1.25700000e+02    2.10984876e-29    -2.77865942e-30    9.18354508e-32    1.84116636e-29
-1.25600000e+02    2.24897225e-29    -2.96139204e-30    9.78528436e-32    1.96261833e-29
-1.25500000e+02    2.39720660e-29    -3.15606714e-30    1.04262433e-31    2.09202613e-29
-1.25400000e+02    2.55514395e-29    -3.36345970e-30    1.11089619e-31    2.22990694e-29
-1.25300000e+02    2.72341462e-29    -3.58439461e-30    1.18361431e-31    2.37681131e-29
-1.25200000e+02    2.90268955e-29    -3.81974985e-30    1.26106639e-31    2.53332522e-29
-1.25100000e+02    3.09368285e-29    -4.07045986e-30    1.34355860e-31    2.70007245e-29
-1.25000000e+02    3.29715465e-29    -4.33751918e-30    1.43141675e-31    2.87771690e-29
-1.24900000e+02    3.51391393e-29    -4.62198623e-30    1.52498756e-31    3.06696518e-29
-1.24800000e+02    3.74482170e-29    -4.92498744e-30    1.62464000e-31    3.26856936e-29
-1.24700000e+02    3.99079433e-29    -5.24772152e-30    1.73076667e-31    3.48332984e-29
-1.24600000e+02    4.25280699e-29    -5.59146410e-30    1.84378535e-31    3.71209844e-29
-1.24500000e+02    4.53189750e-29    -5.95757263e-30    1.96414054e-31    3.95578165e-29
-1.24400000e+02    4.82917025e-29    -6.34749153e-30    2.09230523e-31    4.21534415e-29
-1.24300000e+02    5.14580043e-29    -6.76275777e-30    2.22878263e-31    4.49181248e-29
-1.24200000e+02    5.48303858e-29    -7.20500673e-30    2.37410816e-31    4.78627898e-29
-1.24100000e+02    5.84221533e-29    -7.67597845e-30    2.52885144e-31    5.09990600e-29
-1.24000000e+02    6.22474650e-29    -8.17752424e-30    2.69361849e-31    5.43393026e-29
-1.23900000e+02    6.63213852e-29    -8.71161378e-30    2.86905399e-31    5.78966768e-29
-1.23800000e+02    7.06599416e-29    -9.28034260e-30    3.05584380e-31    6.16851833e-29
-1.23700000e+02    7.52801861e-29    -9.88594003e-30    3.25471751e-31    6.57197178e-29
-1.23600000e+02    8.02002604e-29    -1.05307777e-29    3.46645120e-31    7.00161278e-29
-1.23500000e+02    8.54394643e-29    -1.12173786e-29    3.69187043e-31    7.45912728e-29
-1.23400000e+02    9.10183293e-29    -1.19484265e-29    3.93185333e-31    7.94630882e-29
-1.23300000e+02    9.69586965e-29    -1.27267761e-29    4.18733390e-31    8.46506538e-29
-1.23200000e+02    1.03283799e-28    -1.35554642e-29    4.45930557e-31    9.01742655e-29
-1.23100000e+02    1.10018351e-28    -1.44377206e-29    4.74882497e-31    9.60555127e-29
-1.23000000e+02    1.17188639e-28    -1.53769810e-29    5.05701583e-31    1.02317360e-28
-1.22900000e+02    1.24822624e-28    -1.63768990e-29    5.38507330e-31    1.08984232e-28
-1.22800000e+02    1.32950044e-28    -1.74413609e-29    5.73426838e-31    1.16082110e-28
-1.22700000e+02    1.41602529e-28    -1.85744998e-29    6.10595273e-31    1.23638624e-28
-1.22600000e+02    1.50813718e-28    -1.97807108e-29    6.50156374e-31    1.31683163e-28
-1.22500000e+02    1.60619386e-28    -2.10646685e-29    6.92262991e-31    1.40246981e-28
-1.22400000e+02    1.71057579e-28    -2.24313434e-29    7.37077655e-31    1.49363314e-28
-1.22300000e+02    1.82168757e-28    -2.38860213e-29    7.84773193e-31    1.59067509e-28
-1.22200000e+02    1.93995943e-28    -2.54343230e-29    8.35533367e-31    1.69397153e-28
-1.22100000e+02    2.06584888e-28    -2.70822250e-29    8.89553562e-31    1.80392217e-28
-1.22000000e+02    2.19984241e-28    -2.88360820e-29    9.47041518e-31    1.92095200e-28
-1.21900000e+02    2.34245726e-28    -3.07026506e-29    1.00821810e-30    2.04551294e-28
-1.21800000e+02    2.49424345e-28    -3.26891146e-29    1.07331812e-30    2.17808549e-28
-1.21700000e+02    2.65578573e-28    -3.48031116e-29    1.14259121e-30    2.31918052e-28
-1.21600000e+02    2.82770580e-28    -3.70527616e-29    1.21630276e-30    2.46934121e-28
-1.21500000e+02    3.01066465e-28    -3.94466969e-29    1.29473489e-30    2.62914503e-28
-1.21400000e+02    3.20536497e-28    -4.19940942e-29    1.37818748e-30    2.79920591e-28
-1.21300000e+02    3.41255378e-28    -4.47047089e-29    1.46697932e-30    2.98017649e-28
-1.21200000e+02    3.63302519e-28    -4.75889109e-29    1.56144925e-30    3.17275058e-28
-1.21100000e+02    3.86762337e-28    -5.06577232e-29    1.66195746e-30    3.37766571e-28
-1.21000000e+02    4.11724562e-28    -5.39228624e-29    1.76888676e-30    3.59570587e-28
-1.20900000e+02    4.38284575e-28    -5.73967822e-29    1.88264403e-30    3.82770437e-28
-1.20800000e+02    4.66543754e-28    -6.10927192e-29    2.00366169e-30    4.07454696e-28
-1.20700000e+02    4.96609852e-28    -6.50247416e-29    2.13239934e-30    4.33717510e-28
-1.20600000e+02    5.28597394e-28    -6.92078011e-29    2.26934539e-30    4.61658938e-28
